step,x_deg,y_deg,x_voltage,y_voltage,gate_number,pmt_count,over_light
0,-1.5750000000000002,-1.5750000000000002,-0.35000000000000003,-0.35000000000000003,15,62676,0
1,-1.5250000000000001,-1.5750000000000002,-0.3388888888888889,-0.35000000000000003,30,62718,0
2,-1.475,-1.5750000000000002,-0.3277777777777778,-0.35000000000000003,45,62967,0
3,-1.425,-1.5750000000000002,-0.31666666666666665,-0.35000000000000003,60,64243,0
4,-1.375,-1.5750000000000002,-0.3055555555555556,-0.35000000000000003,75,64543,0
5,-1.3250000000000002,-1.5750000000000002,-0.2944444444444445,-0.35000000000000003,90,64496,0
6,-1.2750000000000001,-1.5750000000000002,-0.2833333333333334,-0.35000000000000003,105,65193,0
7,-1.225,-1.5750000000000002,-0.2722222222222222,-0.35000000000000003,120,65016,0
8,-1.175,-1.5750000000000002,-0.2611111111111111,-0.35000000000000003,135,65115,0
9,-1.125,-1.5750000000000002,-0.25,-0.35000000000000003,150,65899,0
10,-1.075,-1.5750000000000002,-0.2388888888888889,-0.35000000000000003,165,66408,0
11,-1.0250000000000001,-1.5750000000000002,-0.22777777777777783,-0.35000000000000003,180,66234,0
12,-0.9750000000000001,-1.5750000000000002,-0.21666666666666667,-0.35000000000000003,195,66229,0
13,-0.925,-1.5750000000000002,-0.20555555555555555,-0.35000000000000003,210,67079,0
14,-0.875,-1.5750000000000002,-0.19444444444444445,-0.35000000000000003,225,67166,0
15,-0.8250000000000001,-1.5750000000000002,-0.18333333333333332,-0.35000000000000003,240,67395,0
16,-0.775,-1.5750000000000002,-0.17222222222222222,-0.35000000000000003,255,67067,0
17,-0.7250000000000001,-1.5750000000000002,-0.16111111111111112,-0.35000000000000003,270,67330,0
18,-0.675,-1.5750000000000002,-0.15,-0.35000000000000003,285,67836,0
19,-0.625,-1.5750000000000002,-0.1388888888888889,-0.35000000000000003,300,67708,0
20,-0.5750000000000001,-1.5750000000000002,-0.1277777777777778,-0.35000000000000003,315,67574,0
21,-0.525,-1.5750000000000002,-0.11666666666666667,-0.35000000000000003,330,68620,0
22,-0.47500000000000003,-1.5750000000000002,-0.10555555555555556,-0.35000000000000003,345,67886,0
23,-0.42500000000000004,-1.5750000000000002,-0.09444444444444444,-0.35000000000000003,360,68871,0
24,-0.375,-1.5750000000000002,-0.08333333333333333,-0.35000000000000003,375,68069,0
25,-0.325,-1.5750000000000002,-0.07222222222222222,-0.35000000000000003,390,68807,0
26,-0.275,-1.5750000000000002,-0.06111111111111111,-0.35000000000000003,405,68366,0
27,-0.225,-1.5750000000000002,-0.05,-0.35000000000000003,420,68968,0
28,-0.17500000000000002,-1.5750000000000002,-0.038888888888888896,-0.35000000000000003,435,68675,0
29,-0.125,-1.5750000000000002,-0.027777777777777776,-0.35000000000000003,450,68526,0
30,-0.07500000000000001,-1.5750000000000002,-0.01666666666666667,-0.35000000000000003,465,68912,0
31,-0.025,-1.5750000000000002,-0.005555555555555556,-0.35000000000000003,480,68735,0
32,0.025,-1.5750000000000002,0.005555555555555556,-0.35000000000000003,495,69308,0
33,0.07500000000000001,-1.5750000000000002,0.01666666666666667,-0.35000000000000003,510,69056,0
34,0.125,-1.5750000000000002,0.027777777777777776,-0.35000000000000003,525,69263,0
35,0.17500000000000002,-1.5750000000000002,0.038888888888888896,-0.35000000000000003,540,68945,0
36,0.225,-1.5750000000000002,0.05,-0.35000000000000003,555,68606,0
37,0.275,-1.5750000000000002,0.06111111111111111,-0.35000000000000003,570,68645,0
38,0.325,-1.5750000000000002,0.07222222222222222,-0.35000000000000003,585,68593,0
39,0.375,-1.5750000000000002,0.08333333333333333,-0.35000000000000003,600,68165,0
40,0.42500000000000004,-1.5750000000000002,0.09444444444444444,-0.35000000000000003,615,68450,0
41,0.47500000000000003,-1.5750000000000002,0.10555555555555556,-0.35000000000000003,630,68258,0
42,0.525,-1.5750000000000002,0.11666666666666667,-0.35000000000000003,645,68162,0
43,0.5750000000000001,-1.5750000000000002,0.1277777777777778,-0.35000000000000003,660,67788,0
44,0.625,-1.5750000000000002,0.1388888888888889,-0.35000000000000003,675,67427,0
45,0.675,-1.5750000000000002,0.15,-0.35000000000000003,690,67382,0
46,0.7250000000000001,-1.5750000000000002,0.16111111111111112,-0.35000000000000003,705,67592,0
47,0.775,-1.5750000000000002,0.17222222222222222,-0.35000000000000003,720,67629,0
48,0.8250000000000001,-1.5750000000000002,0.18333333333333332,-0.35000000000000003,735,67211,0
49,0.875,-1.5750000000000002,0.19444444444444445,-0.35000000000000003,750,67145,0
50,0.925,-1.5750000000000002,0.20555555555555555,-0.35000000000000003,765,66853,0
51,0.9750000000000001,-1.5750000000000002,0.21666666666666667,-0.35000000000000003,780,66680,0
52,1.0250000000000001,-1.5750000000000002,0.22777777777777783,-0.35000000000000003,795,66117,0
53,1.075,-1.5750000000000002,0.2388888888888889,-0.35000000000000003,810,66179,0
54,1.125,-1.5750000000000002,0.25,-0.35000000000000003,825,65519,0
55,1.175,-1.5750000000000002,0.2611111111111111,-0.35000000000000003,840,65277,0
56,1.225,-1.5750000000000002,0.2722222222222222,-0.35000000000000003,855,65658,0
57,1.2750000000000001,-1.5750000000000002,0.2833333333333334,-0.35000000000000003,870,64515,0
58,1.3250000000000002,-1.5750000000000002,0.2944444444444445,-0.35000000000000003,885,64476,0
59,1.375,-1.5750000000000002,0.3055555555555556,-0.35000000000000003,900,63817,0
60,1.425,-1.5750000000000002,0.31666666666666665,-0.35000000000000003,915,63438,0
61,1.475,-1.5750000000000002,0.3277777777777778,-0.35000000000000003,930,63214,0
62,1.5250000000000001,-1.5750000000000002,0.3388888888888889,-0.35000000000000003,945,63157,0
63,1.5750000000000002,-1.5750000000000002,0.35000000000000003,-0.35000000000000003,960,62764,0
64,-1.5750000000000002,-1.5250000000000001,-0.35000000000000003,-0.3388888888888889,975,62741,0
65,-1.5250000000000001,-1.5250000000000001,-0.3388888888888889,-0.3388888888888889,990,63685,0
66,-1.475,-1.5250000000000001,-0.3277777777777778,-0.3388888888888889,1005,63967,0
67,-1.425,-1.5250000000000001,-0.31666666666666665,-0.3388888888888889,1020,64405,0
68,-1.375,-1.5250000000000001,-0.3055555555555556,-0.3388888888888889,1035,64760,0
69,-1.3250000000000002,-1.5250000000000001,-0.2944444444444445,-0.3388888888888889,1050,65042,0
70,-1.2750000000000001,-1.5250000000000001,-0.2833333333333334,-0.3388888888888889,1065,65304,0
71,-1.225,-1.5250000000000001,-0.2722222222222222,-0.3388888888888889,1080,65304,0
72,-1.175,-1.5250000000000001,-0.2611111111111111,-0.3388888888888889,1095,65560,0
73,-1.125,-1.5250000000000001,-0.25,-0.3388888888888889,1110,66371,0
74,-1.075,-1.5250000000000001,-0.2388888888888889,-0.3388888888888889,1125,66047,0
75,-1.0250000000000001,-1.5250000000000001,-0.22777777777777783,-0.3388888888888889,1140,66700,0
76,-0.9750000000000001,-1.5250000000000001,-0.21666666666666667,-0.3388888888888889,1155,67044,0
77,-0.925,-1.5250000000000001,-0.20555555555555555,-0.3388888888888889,1170,66960,0
78,-0.875,-1.5250000000000001,-0.19444444444444445,-0.3388888888888889,1185,67124,0
79,-0.8250000000000001,-1.5250000000000001,-0.18333333333333332,-0.3388888888888889,1200,67369,0
80,-0.775,-1.5250000000000001,-0.17222222222222222,-0.3388888888888889,1215,67729,0
81,-0.7250000000000001,-1.5250000000000001,-0.16111111111111112,-0.3388888888888889,1230,68157,0
82,-0.675,-1.5250000000000001,-0.15,-0.3388888888888889,1245,67761,0
83,-0.625,-1.5250000000000001,-0.1388888888888889,-0.3388888888888889,1260,68337,0
84,-0.5750000000000001,-1.5250000000000001,-0.1277777777777778,-0.3388888888888889,1275,68565,0
85,-0.525,-1.5250000000000001,-0.11666666666666667,-0.3388888888888889,1290,68563,0
86,-0.47500000000000003,-1.5250000000000001,-0.10555555555555556,-0.3388888888888889,1305,68506,0
87,-0.42500000000000004,-1.5250000000000001,-0.09444444444444444,-0.3388888888888889,1320,69168,0
88,-0.375,-1.5250000000000001,-0.08333333333333333,-0.3388888888888889,1335,69077,0
89,-0.325,-1.5250000000000001,-0.07222222222222222,-0.3388888888888889,1350,68995,0
90,-0.275,-1.5250000000000001,-0.06111111111111111,-0.3388888888888889,1365,69219,0
91,-0.225,-1.5250000000000001,-0.05,-0.3388888888888889,1380,69155,0
92,-0.17500000000000002,-1.5250000000000001,-0.038888888888888896,-0.3388888888888889,1395,69419,0
93,-0.125,-1.5250000000000001,-0.027777777777777776,-0.3388888888888889,1410,69647,0
94,-0.07500000000000001,-1.5250000000000001,-0.01666666666666667,-0.3388888888888889,1425,69105,0
95,-0.025,-1.5250000000000001,-0.005555555555555556,-0.3388888888888889,1440,69567,0
96,0.025,-1.5250000000000001,0.005555555555555556,-0.3388888888888889,1455,69437,0
97,0.07500000000000001,-1.5250000000000001,0.01666666666666667,-0.3388888888888889,1470,69504,0
98,0.125,-1.5250000000000001,0.027777777777777776,-0.3388888888888889,1485,69119,0
99,0.17500000000000002,-1.5250000000000001,0.038888888888888896,-0.3388888888888889,1500,69168,0
100,0.225,-1.5250000000000001,0.05,-0.3388888888888889,1515,69180,0
101,0.275,-1.5250000000000001,0.06111111111111111,-0.3388888888888889,1530,69144,0
102,0.325,-1.5250000000000001,0.07222222222222222,-0.3388888888888889,1545,69149,0
103,0.375,-1.5250000000000001,0.08333333333333333,-0.3388888888888889,1560,68775,0
104,0.42500000000000004,-1.5250000000000001,0.09444444444444444,-0.3388888888888889,1575,69253,0
105,0.47500000000000003,-1.5250000000000001,0.10555555555555556,-0.3388888888888889,1590,68754,0
106,0.525,-1.5250000000000001,0.11666666666666667,-0.3388888888888889,1605,68692,0
107,0.5750000000000001,-1.5250000000000001,0.1277777777777778,-0.3388888888888889,1620,68172,0
108,0.625,-1.5250000000000001,0.1388888888888889,-0.3388888888888889,1635,68593,0
109,0.675,-1.5250000000000001,0.15,-0.3388888888888889,1650,68058,0
110,0.7250000000000001,-1.5250000000000001,0.16111111111111112,-0.3388888888888889,1665,67794,0
111,0.775,-1.5250000000000001,0.17222222222222222,-0.3388888888888889,1680,67606,0
112,0.8250000000000001,-1.5250000000000001,0.18333333333333332,-0.3388888888888889,1695,67764,0
113,0.875,-1.5250000000000001,0.19444444444444445,-0.3388888888888889,1710,67642,0
114,0.925,-1.5250000000000001,0.20555555555555555,-0.3388888888888889,1725,67226,0
115,0.9750000000000001,-1.5250000000000001,0.21666666666666667,-0.3388888888888889,1740,67461,0
116,1.0250000000000001,-1.5250000000000001,0.22777777777777783,-0.3388888888888889,1755,66541,0
117,1.075,-1.5250000000000001,0.2388888888888889,-0.3388888888888889,1770,66137,0
118,1.125,-1.5250000000000001,0.25,-0.3388888888888889,1785,65932,0
119,1.175,-1.5250000000000001,0.2611111111111111,-0.3388888888888889,1800,65981,0
120,1.225,-1.5250000000000001,0.2722222222222222,-0.3388888888888889,1815,65572,0
121,1.2750000000000001,-1.5250000000000001,0.2833333333333334,-0.3388888888888889,1830,65007,0
122,1.3250000000000002,-1.5250000000000001,0.2944444444444445,-0.3388888888888889,1845,65129,0
123,1.375,-1.5250000000000001,0.3055555555555556,-0.3388888888888889,1860,64307,0
124,1.425,-1.5250000000000001,0.31666666666666665,-0.3388888888888889,1875,64328,0
125,1.475,-1.5250000000000001,0.3277777777777778,-0.3388888888888889,1890,63581,0
126,1.5250000000000001,-1.5250000000000001,0.3388888888888889,-0.3388888888888889,1905,63574,0
127,1.5750000000000002,-1.5250000000000001,0.35000000000000003,-0.3388888888888889,1920,62710,0
128,-1.5750000000000002,-1.475,-0.35000000000000003,-0.3277777777777778,1935,63321,0
129,-1.5250000000000001,-1.475,-0.3388888888888889,-0.3277777777777778,1950,63624,0
130,-1.475,-1.475,-0.3277777777777778,-0.3277777777777778,1965,64137,0
131,-1.425,-1.475,-0.31666666666666665,-0.3277777777777778,1980,64668,0
132,-1.375,-1.475,-0.3055555555555556,-0.3277777777777778,1995,65286,0
133,-1.3250000000000002,-1.475,-0.2944444444444445,-0.3277777777777778,2010,65232,0
134,-1.2750000000000001,-1.475,-0.2833333333333334,-0.3277777777777778,2025,65754,0
135,-1.225,-1.475,-0.2722222222222222,-0.3277777777777778,2040,66043,0
136,-1.175,-1.475,-0.2611111111111111,-0.3277777777777778,2055,66235,0
137,-1.125,-1.475,-0.25,-0.3277777777777778,2070,66134,0
138,-1.075,-1.475,-0.2388888888888889,-0.3277777777777778,2085,66703,0
139,-1.0250000000000001,-1.475,-0.22777777777777783,-0.3277777777777778,2100,67041,0
140,-0.9750000000000001,-1.475,-0.21666666666666667,-0.3277777777777778,2115,67302,0
141,-0.925,-1.475,-0.20555555555555555,-0.3277777777777778,2130,67203,0
142,-0.875,-1.475,-0.19444444444444445,-0.3277777777777778,2145,67649,0
143,-0.8250000000000001,-1.475,-0.18333333333333332,-0.3277777777777778,2160,67924,0
144,-0.775,-1.475,-0.17222222222222222,-0.3277777777777778,2175,68166,0
