step,x_deg,y_deg,x_voltage,y_voltage,gate_number,pmt_count,over_light
0,-2.0,-2.0,-0.4444444444444444,-0.4444444444444444,,821,0
1,-1.98,-2.0,-0.44,-0.4444444444444444,,1066,0
2,-1.96,-2.0,-0.4355555555555556,-0.4444444444444444,,1118,0
3,-1.94,-2.0,-0.43111111111111106,-0.4444444444444444,,1298,0
4,-1.92,-2.0,-0.42666666666666664,-0.4444444444444444,,1371,0
5,-1.9000000000000001,-2.0,-0.4222222222222222,-0.4444444444444444,,1312,0
6,-1.8800000000000001,-2.0,-0.4177777777777778,-0.4444444444444444,,1377,0
7,-1.86,-2.0,-0.4133333333333334,-0.4444444444444444,,1331,0
8,-1.84,-2.0,-0.4088888888888889,-0.4444444444444444,,1390,0
9,-1.82,-2.0,-0.40444444444444444,-0.4444444444444444,,1346,0
10,-1.8,-2.0,-0.4,-0.4444444444444444,,1336,0
11,-1.78,-2.0,-0.39555555555555555,-0.4444444444444444,,1565,0
12,-1.76,-2.0,-0.39111111111111113,-0.4444444444444444,,1995,0
13,-1.74,-2.0,-0.38666666666666666,-0.4444444444444444,,1789,0
14,-1.72,-2.0,-0.3822222222222222,-0.4444444444444444,,1070,0
15,-1.7,-2.0,-0.37777777777777777,-0.4444444444444444,,817,0
16,-1.68,-2.0,-0.37333333333333335,-0.4444444444444444,,755,0
17,-1.6600000000000001,-2.0,-0.36888888888888893,-0.4444444444444444,,751,0
18,-1.6400000000000001,-2.0,-0.3644444444444445,-0.4444444444444444,,747,0
19,-1.62,-2.0,-0.36000000000000004,-0.4444444444444444,,718,0
20,-1.6,-2.0,-0.35555555555555557,-0.4444444444444444,,713,0
21,-1.58,-2.0,-0.35111111111111115,-0.4444444444444444,,768,0
22,-1.56,-2.0,-0.3466666666666667,-0.4444444444444444,,763,0
23,-1.54,-2.0,-0.3422222222222222,-0.4444444444444444,,695,0
24,-1.52,-2.0,-0.3377777777777778,-0.4444444444444444,,706,0
25,-1.5,-2.0,-0.3333333333333333,-0.4444444444444444,,681,0
26,-1.48,-2.0,-0.3288888888888889,-0.4444444444444444,,684,0
27,-1.46,-2.0,-0.3244444444444444,-0.4444444444444444,,718,0
28,-1.44,-2.0,-0.31999999999999995,-0.4444444444444444,,734,0
29,-1.42,-2.0,-0.31555555555555553,-0.4444444444444444,,675,0
30,-1.4000000000000001,-2.0,-0.31111111111111117,-0.4444444444444444,,727,0
31,-1.3800000000000001,-2.0,-0.3066666666666667,-0.4444444444444444,,676,0
32,-1.36,-2.0,-0.3022222222222223,-0.4444444444444444,,691,0
33,-1.34,-2.0,-0.2977777777777778,-0.4444444444444444,,734,0
34,-1.32,-2.0,-0.29333333333333333,-0.4444444444444444,,681,0
35,-1.3,-2.0,-0.28888888888888886,-0.4444444444444444,,687,0
36,-1.28,-2.0,-0.28444444444444444,-0.4444444444444444,,690,0
37,-1.26,-2.0,-0.27999999999999997,-0.4444444444444444,,641,0
38,-1.24,-2.0,-0.27555555555555555,-0.4444444444444444,,724,0
39,-1.22,-2.0,-0.2711111111111111,-0.4444444444444444,,701,0
40,-1.2,-2.0,-0.26666666666666666,-0.4444444444444444,,694,0
41,-1.18,-2.0,-0.2622222222222222,-0.4444444444444444,,670,0
42,-1.16,-2.0,-0.2577777777777778,-0.4444444444444444,,719,0
43,-1.1400000000000001,-2.0,-0.25333333333333335,-0.4444444444444444,,723,0
44,-1.12,-2.0,-0.2488888888888889,-0.4444444444444444,,715,0
45,-1.1,-2.0,-0.24444444444444444,-0.4444444444444444,,689,0
46,-1.08,-2.0,-0.24000000000000002,-0.4444444444444444,,716,0
47,-1.06,-2.0,-0.23555555555555557,-0.4444444444444444,,746,0
48,-1.04,-2.0,-0.23111111111111113,-0.4444444444444444,,824,0
49,-1.02,-2.0,-0.22666666666666666,-0.4444444444444444,,985,0
50,-1.0,-2.0,-0.2222222222222222,-0.4444444444444444,,1099,0
51,-0.98,-2.0,-0.2177777777777778,-0.4444444444444444,,1235,0
52,-0.96,-2.0,-0.21333333333333332,-0.4444444444444444,,928,0
53,-0.9400000000000001,-2.0,-0.2088888888888889,-0.4444444444444444,,951,0
54,-0.92,-2.0,-0.20444444444444446,-0.4444444444444444,,1024,0
55,-0.9,-2.0,-0.2,-0.4444444444444444,,1097,0
56,-0.88,-2.0,-0.19555555555555557,-0.4444444444444444,,1223,0
57,-0.86,-2.0,-0.1911111111111111,-0.4444444444444444,,1469,0
58,-0.84,-2.0,-0.18666666666666668,-0.4444444444444444,,1659,0
59,-0.8200000000000001,-2.0,-0.18222222222222226,-0.4444444444444444,,1918,0
60,-0.8,-2.0,-0.17777777777777778,-0.4444444444444444,,1966,0
61,-0.78,-2.0,-0.17333333333333334,-0.4444444444444444,,1766,0
62,-0.76,-2.0,-0.1688888888888889,-0.4444444444444444,,1736,0
63,-0.74,-2.0,-0.16444444444444445,-0.4444444444444444,,1607,0
64,-0.72,-2.0,-0.15999999999999998,-0.4444444444444444,,1428,0
65,-0.7000000000000001,-2.0,-0.15555555555555559,-0.4444444444444444,,1387,0
66,-0.68,-2.0,-0.15111111111111114,-0.4444444444444444,,1449,0
67,-0.66,-2.0,-0.14666666666666667,-0.4444444444444444,,1505,0
68,-0.64,-2.0,-0.14222222222222222,-0.4444444444444444,,1575,0
69,-0.62,-2.0,-0.13777777777777778,-0.4444444444444444,,1434,0
