step,x_deg,y_deg,x_voltage,y_voltage,gate_number,pmt_count,over_light
85,1.8,-1.9500000000000002,0.4,-0.43333333333333335,1275,5657,0
86,1.75,-1.9500000000000002,0.3888888888888889,-0.43333333333333335,1290,3575,0
87,1.7000000000000002,-1.9500000000000002,0.37777777777777777,-0.43333333333333335,1305,2930,0
88,1.6500000000000001,-1.9500000000000002,0.36666666666666664,-0.43333333333333335,1320,1969,0
89,1.6,-1.9500000000000002,0.35555555555555557,-0.43333333333333335,1335,1714,0
90,1.55,-1.9500000000000002,0.34444444444444444,-0.43333333333333335,1350,1626,0
91,1.5,-1.9500000000000002,0.3333333333333333,-0.43333333333333335,1365,1934,0
92,1.4500000000000002,-1.9500000000000002,0.32222222222222224,-0.43333333333333335,1380,1813,0
93,1.4000000000000001,-1.9500000000000002,0.31111111111111117,-0.43333333333333335,1395,2083,0
94,1.35,-1.9500000000000002,0.3,-0.43333333333333335,1410,1568,0
95,1.3,-1.9500000000000002,0.28888888888888886,-0.43333333333333335,1425,991,0
96,1.25,-1.9500000000000002,0.2777777777777778,-0.43333333333333335,1440,1343,0
97,1.2000000000000002,-1.9500000000000002,0.2666666666666667,-0.43333333333333335,1455,1547,0
98,1.1500000000000001,-1.9500000000000002,0.2555555555555556,-0.43333333333333335,1470,1682,0
99,1.1,-1.9500000000000002,0.24444444444444444,-0.43333333333333335,1485,1197,0
100,1.05,-1.9500000000000002,0.23333333333333334,-0.43333333333333335,1500,1018,0
101,1.0,-1.9500000000000002,0.2222222222222222,-0.43333333333333335,1515,1061,0
102,0.9500000000000001,-1.9500000000000002,0.2111111111111111,-0.43333333333333335,1530,1248,0
103,0.9,-1.9500000000000002,0.2,-0.43333333333333335,1545,1227,0
104,0.8500000000000001,-1.9500000000000002,0.18888888888888888,-0.43333333333333335,1560,1409,0
105,0.8,-1.9500000000000002,0.17777777777777778,-0.43333333333333335,1575,1164,0
106,0.75,-1.9500000000000002,0.16666666666666666,-0.43333333333333335,1590,1583,0
107,0.7000000000000001,-1.9500000000000002,0.15555555555555559,-0.43333333333333335,1605,1738,0
108,0.65,-1.9500000000000002,0.14444444444444443,-0.43333333333333335,1620,1523,0
109,0.6000000000000001,-1.9500000000000002,0.13333333333333336,-0.43333333333333335,1635,1559,0
110,0.55,-1.9500000000000002,0.12222222222222222,-0.43333333333333335,1650,1806,0
111,0.5,-1.9500000000000002,0.1111111111111111,-0.43333333333333335,1665,1682,0
112,0.45,-1.9500000000000002,0.1,-0.43333333333333335,1680,1848,0
113,0.4,-1.9500000000000002,0.08888888888888889,-0.43333333333333335,1695,1835,0
114,0.35000000000000003,-1.9500000000000002,0.07777777777777779,-0.43333333333333335,1710,1404,0
115,0.30000000000000004,-1.9500000000000002,0.06666666666666668,-0.43333333333333335,1725,1761,0
116,0.25,-1.9500000000000002,0.05555555555555555,-0.43333333333333335,1740,2359,0
117,0.2,-1.9500000000000002,0.044444444444444446,-0.43333333333333335,1755,2323,0
118,0.15000000000000002,-1.9500000000000002,0.03333333333333334,-0.43333333333333335,1770,1964,0
119,0.1,-1.9500000000000002,0.022222222222222223,-0.43333333333333335,1785,3007,0
120,0.05,-1.9500000000000002,0.011111111111111112,-0.43333333333333335,1800,2676,0
121,0.0,-1.9500000000000002,0.0,-0.43333333333333335,1815,2245,0
122,-0.05,-1.9500000000000002,-0.011111111111111112,-0.43333333333333335,1830,2118,0
123,-0.1,-1.9500000000000002,-0.022222222222222223,-0.43333333333333335,1845,1864,0
124,-0.15000000000000002,-1.9500000000000002,-0.03333333333333334,-0.43333333333333335,1860,1749,0
125,-0.2,-1.9500000000000002,-0.044444444444444446,-0.43333333333333335,1875,1954,0
126,-0.25,-1.9500000000000002,-0.05555555555555555,-0.43333333333333335,1890,2194,0
127,-0.30000000000000004,-1.9500000000000002,-0.06666666666666668,-0.43333333333333335,1905,2054,0
128,-0.35000000000000003,-1.9500000000000002,-0.07777777777777779,-0.43333333333333335,1920,1982,0
129,-0.4,-1.9500000000000002,-0.08888888888888889,-0.43333333333333335,1935,2353,0
130,-0.45,-1.9500000000000002,-0.1,-0.43333333333333335,1950,2289,0
131,-0.5,-1.9500000000000002,-0.1111111111111111,-0.43333333333333335,1965,2040,0
132,-0.55,-1.9500000000000002,-0.12222222222222222,-0.43333333333333335,1980,2208,0
133,-0.6000000000000001,-1.9500000000000002,-0.13333333333333336,-0.43333333333333335,1995,1901,0
134,-0.65,-1.9500000000000002,-0.14444444444444443,-0.43333333333333335,2010,1928,0
135,-0.7000000000000001,-1.9500000000000002,-0.15555555555555559,-0.43333333333333335,2025,2270,0
136,-0.75,-1.9500000000000002,-0.16666666666666666,-0.43333333333333335,2040,2456,0
137,-0.8,-1.9500000000000002,-0.17777777777777778,-0.43333333333333335,2055,2465,0
138,-0.8500000000000001,-1.9500000000000002,-0.18888888888888888,-0.43333333333333335,2070,1823,0
139,-0.9,-1.9500000000000002,-0.2,-0.43333333333333335,2085,1197,0
140,-0.9500000000000001,-1.9500000000000002,-0.2111111111111111,-0.43333333333333335,2100,857,0
141,-1.0,-1.9500000000000002,-0.2222222222222222,-0.43333333333333335,2115,1086,0
142,-1.05,-1.9500000000000002,-0.23333333333333334,-0.43333333333333335,2130,1479,0
143,-1.1,-1.9500000000000002,-0.24444444444444444,-0.43333333333333335,2145,1419,0
144,-1.1500000000000001,-1.9500000000000002,-0.2555555555555556,-0.43333333333333335,2160,1855,0
145,-1.2000000000000002,-1.9500000000000002,-0.2666666666666667,-0.43333333333333335,2175,2435,0
146,-1.25,-1.9500000000000002,-0.2777777777777778,-0.43333333333333335,2190,2375,0
147,-1.3,-1.9500000000000002,-0.28888888888888886,-0.43333333333333335,2205,1760,0
148,-1.35,-1.9500000000000002,-0.3,-0.43333333333333335,2220,2363,0
149,-1.4000000000000001,-1.9500000000000002,-0.31111111111111117,-0.43333333333333335,2235,2270,0
150,-1.4500000000000002,-1.9500000000000002,-0.32222222222222224,-0.43333333333333335,2250,2599,0
151,-1.5,-1.9500000000000002,-0.3333333333333333,-0.43333333333333335,2265,2599,0
152,-1.55,-1.9500000000000002,-0.34444444444444444,-0.43333333333333335,2280,2512,0
